model,noise_type,sigma,image,psnr,ssim,lpips,psnr_noisy,ssim_noisy,lpips_noisy,inference_ms
vae,gaussian,15,test008.png,19.950066899654676,0.35174351863106107,0.7142579555511475,24.675345440934976,0.7064644819110657,0.2658975422382355,
dncnn,gaussian,15,test009.png,31.50477736144094,0.9030507118321501,0.08675695955753326,24.727303512563644,0.5902915563861231,0.4162769913673401,
vae,gaussian,15,test009.png,22.38062907022102,0.5712965217772802,0.5467150211334229,24.727303512563644,0.5902915563861231,0.4162769913673401,
dncnn,gaussian,15,test010.png,32.241285478367416,0.888053808096955,0.11630971729755402,24.601308307788297,0.5314130664341831,0.5032249093055725,
vae,gaussian,15,test010.png,24.984597375523457,0.606880004054751,0.5482071042060852,24.601308307788297,0.5314130664341831,0.5032249093055725,
dncnn,gaussian,15,test011.png,31.630376667779142,0.9210345888145784,0.04710013046860695,24.91815344841294,0.6916721288629543,0.2672017812728882,
vae,gaussian,15,test011.png,20.036667174106245,0.4905339397702758,0.5353207588195801,24.91815344841294,0.6916721288629543,0.2672017812728882,
dncnn,gaussian,15,test012.png,30.902236234870077,0.8705856200194697,0.11422872543334961,24.596448569491173,0.64494903576628,0.32485640048980713,
vae,gaussian,15,test012.png,22.468332722056992,0.42816489535033925,0.658087968826294,24.596448569491173,0.64494903576628,0.32485640048980713,
dncnn,gaussian,15,test013.png,31.95034169438154,0.8926911939343714,0.15039604902267456,24.60429309593526,0.5805937092007452,0.46422019600868225,
vae,gaussian,15,test013.png,24.97143750291084,0.5679716381767943,0.5894919037818909,24.60429309593526,0.5805937092007452,0.46422019600868225,
dncnn,gaussian,15,test014.png,33.19486184361751,0.8984473284181198,0.12085068225860596,24.67698112184693,0.4630857510919758,0.5387357473373413,
vae,gaussian,15,test014.png,24.83014970144149,0.6723165154777915,0.5235738754272461,24.67698112184693,0.4630857510919758,0.5387357473373413,
dncnn,gaussian,15,test015.png,29.904134051740158,0.8650767174121631,0.12683400511741638,24.716146132444837,0.6452885960939037,0.31423938274383545,
vae,gaussian,15,test015.png,21.50396724660481,0.47556659507645876,0.6407264471054077,24.716146132444837,0.6452885960939037,0.31423938274383545,
dncnn,gaussian,15,test016.png,30.852915235385815,0.9123763220411794,0.05425363779067993,24.62838836541424,0.7312075130310572,0.24456340074539185,
vae,gaussian,15,test016.png,18.913420992827955,0.42104612739464947,0.5834969282150269,24.62838836541424,0.7312075130310572,0.24456340074539185,
dncnn,gaussian,15,test017.png,34.940666335166185,0.9063116854577634,0.12569555640220642,25.044777350841297,0.4075109254668032,0.6460314989089966,
vae,gaussian,15,test017.png,29.215322556686605,0.7688637618844384,0.4134231209754944,25.044777350841297,0.4075109254668032,0.6460314989089966,
dncnn,gaussian,15,test018.png,35.1660458374092,0.9222949826988261,0.10210289061069489,24.65941737382996,0.38354995193950514,0.6690711975097656,
vae,gaussian,15,test018.png,28.13816696917057,0.7823084673493209,0.3984681963920593,24.65941737382996,0.38354995193950514,0.6690711975097656,
dncnn,gaussian,15,test019.png,30.72859449134111,0.8806541057170781,0.08296272903680801,24.785259888057016,0.5784890827756677,0.3336542248725891,
vae,gaussian,15,test019.png,22.149934144514223,0.5602218760981951,0.5726730227470398,24.785259888057016,0.5784890827756677,0.3336542248725891,
dncnn,gaussian,15,test020.png,31.55914883692745,0.895657818704022,0.11602474749088287,24.781437258807586,0.4953100053163599,0.4279775321483612,
vae,gaussian,15,test020.png,21.55758573337906,0.6496281330109783,0.5517640113830566,24.781437258807586,0.4953100053163599,0.4279775321483612,
